# Gen	Time	Best
0	0.0140	736040
2000	7.4966	334428
4000	12.4360	196721
6000	15.3249	124074
8000	17.2339	85879
10000	18.4421	66779
12000	19.4526	60230
14000	20.2294	55836
16000	21.0498	54605
18000	21.8865	53709
20000	22.5523	53083
22000	23.2951	52517
24000	24.0752	52174
26000	24.6856	51884
28000	25.4036	51829
30000	26.0006	51723
32000	27.0566	51711
34000	28.5855	51711
36000	29.7450	51653
38000	30.9706	51653
40000	32.1913	51653
42000	33.4405	51653
44000	34.6380	51653
46000	35.8045	51653
48000	36.9685	51653
50000	38.1672	51653
52000	39.4020	51653
54000	40.5943	51653
56000	41.7573	51653
58000	42.9841	51653
60000	44.1695	51653
62000	45.3959	51653
64000	46.5637	51653
66000	47.7867	51653
68000	48.9556	51653
70000	50.1649	51653
72000	51.3195	51653
74000	52.5388	51653
76000	53.7974	51653
78000	54.9971	51653
80000	56.1868	51653
82000	57.3443	51653
84000	58.5363	51653
86000	59.6824	51653
88000	60.8872	51653
90000	62.0665	51653
92000	63.2602	51653
94000	64.4197	51653
96000	65.6175	51653
98000	66.7877	51653
100000	68.0230	51653
102000	69.1753	51653
104000	70.3511	51653
106000	71.5178	51653
108000	72.7049	51653
110000	73.8524	51653
112000	75.0423	51653
114000	76.2797	51653
116000	77.5299	51653
118000	78.7360	51653
120000	79.9247	51653
122000	81.1264	51653
124000	82.3227	51653
126000	83.5212	51653
128000	84.7559	51653
130000	86.0023	51653
132000	87.2045	51653
134000	88.4195	51653
136000	89.5985	51653
138000	90.8123	51653
140000	91.9998	51653
142000	93.2039	51653
144000	94.3817	51653
146000	95.6212	51653
148000	96.9752	51653
150000	98.1950	51653
152000	99.4331	51653
154000	100.6407	51653
156000	101.8910	51653
158000	103.0846	51653
160000	104.3319	51653
162000	105.5712	51653
164000	106.8134	51653
166000	108.0363	51653
168000	109.2595	51653
170000	110.4646	51653
172000	111.7023	51653
174000	112.9023	51653
176000	114.1098	51653
178000	115.2944	51653
180000	116.6088	51653
182000	117.8315	51653
184000	119.0309	51653
186000	120.3245	51653
188000	121.5009	51653
190000	122.7456	51653
192000	123.9428	51653
194000	125.1933	51653
196000	126.3802	51653
198000	127.6067	51653
0	128.8185	736705
2000	139.8959	331683
4000	145.1623	201123
6000	148.0524	126726
8000	149.8771	83413
10000	151.0869	66184
12000	152.1022	58496
14000	152.8842	54585
16000	153.7538	53246
18000	154.6075	52787
20000	155.4562	52677
22000	156.1274	52555
24000	157.0291	52348
26000	158.0944	52288
28000	159.3998	52288
30000	160.6898	52272
32000	162.0353	52272
34000	163.3081	52272
36000	164.5960	52272
38000	165.8861	52272
40000	167.0958	52272
42000	168.3407	52272
44000	169.5375	52272
46000	170.7576	52272
48000	171.9286	52272
50000	173.1500	52272
52000	174.3350	52272
54000	175.5798	52272
56000	176.8430	52272
58000	178.0711	52272
60000	179.2664	52272
62000	180.5138	52272
64000	181.7457	52272
66000	183.0635	52272
68000	184.3236	52272
70000	185.5167	52272
72000	186.7471	52272
74000	187.9509	52272
76000	189.1859	52272
78000	190.3703	52272
80000	191.5966	52272
82000	192.7959	52272
84000	194.0081	52272
86000	195.1742	52272
88000	196.3621	52272
90000	197.5057	52272
92000	198.7099	52272
94000	199.9227	52272
96000	201.1257	52272
98000	202.4229	52272
100000	203.6626	52272
102000	204.8703	52272
104000	206.0096	52272
106000	207.1863	52272
108000	208.3442	52272
110000	209.5199	52272
112000	210.6649	52272
114000	211.8886	52272
116000	213.0347	52272
118000	214.1980	52272
120000	215.3481	52272
122000	216.5409	52272
124000	217.7065	52272
126000	218.8839	52272
128000	220.0602	52272
130000	221.2432	52272
132000	222.4215	52272
134000	223.6115	52272
136000	224.7445	52272
138000	225.9335	52272
140000	227.0974	52272
142000	228.3118	52272
144000	229.4715	52272
146000	230.6909	52272
148000	231.8695	52272
150000	233.0740	52272
152000	234.4090	52272
154000	235.6126	52272
156000	236.9454	52272
158000	238.1071	52272
160000	239.3057	52272
162000	240.4734	52272
164000	241.6845	52272
166000	242.8551	52272
168000	244.0269	52272
170000	245.2002	52272
172000	246.4487	52272
174000	247.6092	52272
176000	248.8217	52272
178000	249.9708	52272
180000	251.1486	52272
182000	252.2989	52272
184000	253.4969	52272
186000	254.6589	52272
188000	255.8488	52272
190000	257.0361	52272
192000	258.2224	52272
194000	259.3788	52272
196000	260.6729	52272
198000	261.8924	52272
0	263.0865	727667
2000	273.7601	326190
4000	278.7348	195577
6000	281.7045	122104
8000	283.3750	83499
10000	284.5279	64585
12000	285.5104	56846
14000	286.3505	54155
16000	287.1655	53398
18000	287.8263	53197
20000	288.5835	52989
22000	289.2000	52801
24000	290.2228	52683
26000	291.5908	52682
28000	292.4597	52463
30000	293.3953	52386
32000	294.5588	52385
34000	295.7238	52300
36000	296.9155	52286
38000	298.0843	52256
40000	299.3028	52230
42000	300.6346	52230
44000	301.8358	52185
46000	303.0115	52185
48000	304.1769	52185
50000	305.4242	52185
52000	306.6186	52185
54000	307.8183	52185
56000	309.0269	52185
58000	310.1891	52185
60000	311.3448	52185
62000	312.5684	52185
64000	313.7220	52185
66000	314.9056	52185
68000	316.0809	52185
70000	317.2662	52185
72000	318.4181	52185
74000	319.6056	52185
76000	320.8305	52185
78000	322.0316	52185
80000	323.2565	52185
82000	324.4077	52185
84000	325.6157	52185
86000	326.8067	52185
88000	328.0088	52185
90000	329.1554	52185
92000	330.3582	52185
94000	331.5134	52185
96000	332.7044	52185
98000	333.8610	52185
100000	335.0658	52185
102000	336.2625	52185
104000	337.4321	52185
106000	338.6021	52185
108000	339.7745	52185
110000	340.9476	52185
112000	342.1443	52185
114000	343.3131	52185
116000	344.6399	52185
118000	345.9498	52185
120000	347.1736	52185
122000	348.4036	52185
124000	349.6170	52185
126000	350.8319	52185
128000	351.9934	52185
130000	353.1890	52185
132000	354.3668	52185
134000	355.5614	52185
136000	356.7278	52185
138000	357.9634	52185
140000	359.1562	52185
142000	360.3850	52185
144000	361.7021	52185
146000	362.9272	52185
148000	364.0965	52185
150000	365.3008	52185
152000	366.5015	52185
154000	367.6765	52185
156000	368.9472	52185
158000	370.2875	52185
160000	371.5212	52185
162000	372.7230	52185
164000	373.9500	52185
166000	375.1193	52185
168000	376.3537	52185
170000	377.5309	52185
172000	378.8219	52185
174000	380.0366	52185
176000	381.2753	52185
178000	382.4958	52185
180000	383.7600	52185
182000	385.0452	52185
184000	386.2944	52185
186000	387.5582	52185
188000	388.8673	52185
190000	390.1261	52185
192000	391.3347	52185
194000	392.7206	52185
196000	393.9724	52185
198000	395.1638	52185
0	396.4399	724667
2000	407.1008	328465
4000	412.1207	193304
6000	414.9884	126612
8000	416.8011	86167
10000	418.0000	65063
12000	418.8548	57838
14000	419.8169	55495
16000	420.6435	54702
18000	421.4887	53747
20000	422.1885	53384
22000	422.9385	53148
24000	423.6984	53039
26000	424.3280	52742
28000	425.0388	52579
30000	425.6587	52374
32000	426.4138	52344
34000	427.1696	52295
36000	427.7497	52238
38000	428.4736	52238
40000	429.5046	52238
42000	430.7202	52238
44000	431.8887	52238
46000	433.0737	52238
48000	434.2164	52238
50000	435.3888	52238
52000	436.5004	52238
54000	437.7345	52238
56000	438.8893	52238
58000	440.0415	52238
60000	441.2078	52238
62000	442.3604	52238
64000	443.5392	52238
66000	444.7483	52238
68000	445.9388	52238
70000	447.2473	52238
72000	448.4864	52238
74000	449.6785	52238
76000	450.8943	52238
78000	452.0616	52238
80000	453.2691	52238
82000	454.4656	52238
84000	455.7061	52238
86000	456.9016	52238
88000	458.1303	52238
90000	459.3481	52238
92000	460.5815	52238
94000	461.7463	52238
96000	462.9552	52238
98000	464.1197	52238
100000	465.3329	52238
102000	466.5203	52238
104000	467.7308	52238
106000	468.9759	52238
108000	470.1661	52238
110000	471.4196	52238
