# Gen	Time	Best
0	0.0169	726780
2000	5.5194	332829
4000	11.0076	212377
6000	14.0204	137871
8000	16.1729	97140
10000	17.5245	74755
12000	18.6948	64133
14000	19.6338	58467
16000	20.6106	56214
18000	21.5238	54878
20000	22.2591	53652
22000	23.1240	53307
24000	23.9167	53212
26000	24.5768	53036
28000	25.3915	53002
30000	26.0474	52737
32000	26.8575	52464
34000	27.7015	52464
36000	28.4656	52464
38000	29.2289	52464
40000	30.1417	52431
42000	30.7737	52370
44000	31.5621	52350
46000	32.4570	52186
48000	33.2030	52158
50000	34.0056	52158
52000	34.8355	52158
54000	35.8127	52126
56000	36.5652	52120
58000	37.4231	52120
60000	38.3315	52120
62000	39.1317	52039
64000	39.9656	52029
66000	40.7736	52029
68000	41.7535	52029
70000	42.5442	52029
72000	43.4669	51997
74000	44.3337	51997
76000	44.9328	51920
78000	45.6888	51920
80000	46.6359	51920
82000	47.4317	51920
84000	48.3240	51920
86000	49.0712	51920
88000	49.7656	51920
90000	50.6381	51920
92000	51.5488	51920
94000	52.1872	51920
96000	53.2157	51920
98000	53.9975	51854
100000	54.7607	51854
102000	55.4998	51854
104000	56.2652	51854
106000	57.0440	51854
108000	57.9505	51854
110000	58.7900	51854
112000	59.4792	51854
114000	60.3603	51801
116000	61.2223	51801
118000	61.8792	51801
120000	62.7356	51801
122000	63.6277	51801
124000	64.2744	51801
126000	65.2955	51801
128000	66.0864	51801
130000	66.8040	51801
132000	67.5852	51801
134000	68.3535	51801
136000	69.0710	51801
138000	69.9151	51801
140000	70.8632	51801
142000	71.5884	51801
144000	72.4867	51801
146000	73.3080	51801
148000	74.0078	51801
150000	74.9131	51801
152000	75.7570	51801
154000	76.7053	51801
156000	77.4014	51801
158000	78.2425	51801
160000	79.0942	51801
162000	79.8182	51801
164000	80.6807	51801
166000	81.5427	51801
168000	82.1933	51801
170000	83.0117	51801
172000	83.9074	51801
174000	84.6924	51801
176000	85.5556	51801
178000	86.3865	51801
180000	87.0713	51801
182000	87.8447	51801
184000	88.7197	51801
186000	89.4081	51801
188000	90.3136	51801
190000	91.2570	51801
192000	91.9727	51645
194000	92.8988	51645
196000	93.8245	51645
198000	94.7234	51645
0	95.4931	729546
2000	108.2062	338482
4000	113.5815	209269
6000	116.8613	135615
8000	118.9173	97889
10000	120.3840	72965
12000	121.5834	63654
14000	122.6165	58039
16000	123.6652	55525
18000	124.3711	53721
20000	125.2065	53233
22000	126.0981	53147
24000	126.9209	52900
26000	127.7498	52597
28000	128.7520	52538
30000	129.7094	52420
32000	130.5878	52420
34000	131.4226	52402
36000	132.2589	52315
38000	132.9922	52315
40000	133.8395	52315
42000	134.6527	52223
44000	135.4404	52217
46000	136.3267	52217
48000	137.2596	52217
50000	138.2081	52189
52000	138.9810	52182
54000	139.7673	52182
56000	140.6210	52160
58000	141.3583	52119
60000	142.1741	52119
62000	143.1529	52095
64000	144.1329	52095
66000	144.7791	52055
68000	145.6404	51938
70000	146.5364	51903
72000	147.2556	51878
74000	148.2296	51878
76000	149.0723	51878
78000	149.8219	51878
80000	150.7241	51878
82000	151.5830	51878
84000	152.2779	51878
86000	153.1411	51878
88000	154.0592	51878
90000	154.8727	51878
92000	155.6007	51878
94000	156.5519	51878
96000	157.5774	51878
98000	158.4812	51878
100000	159.2162	51878
102000	160.2455	51878
104000	161.2600	51878
106000	162.1850	51878
108000	162.8421	51878
110000	163.8384	51878
112000	164.7462	51878
114000	165.4407	51878
116000	166.4351	51878
118000	167.3003	51878
120000	168.2171	51878
122000	168.9702	51878
124000	169.9278	51878
126000	170.7688	51878
128000	171.7916	51878
130000	172.4657	51878
132000	173.3089	51878
134000	174.2411	51878
136000	175.0174	51878
138000	175.9194	51878
140000	176.8325	51878
142000	177.8759	51878
144000	178.5241	51878
146000	179.3031	51878
148000	180.2036	51821
150000	180.9743	51821
152000	181.9110	51821
154000	182.7608	51821
156000	183.7284	51821
158000	184.4379	51739
160000	185.2818	51739
162000	186.1386	51739
164000	186.8676	51739
166000	187.8300	51739
168000	188.7329	51739
170000	189.6368	51739
172000	190.3609	51739
174000	191.2070	51739
176000	192.0975	51739
178000	192.8104	51739
180000	193.7151	51739
182000	194.5530	51739
184000	195.5192	51739
186000	196.3762	51739
188000	197.1767	51739
190000	197.6127	51739
192000	197.9305	51739
194000	198.1989	51739
196000	198.4759	51700
198000	198.7573	51700
0	199.1396	731248
2000	203.2706	337318
4000	205.0737	212742
6000	206.1233	145779
8000	206.8855	99215
10000	207.3465	75089
12000	207.7681	63042
14000	208.1058	57114
16000	208.4099	55297
18000	208.7128	54230
20000	209.0226	52895
22000	209.3092	52678
24000	209.5854	52377
26000	209.8719	52345
28000	210.1775	52328
30000	210.4523	52231
32000	210.7252	52074
34000	211.0049	51987
36000	211.3258	51862
38000	211.5913	51799
40000	211.8871	51799
42000	212.1585	51799
44000	212.4571	51799
46000	212.7265	51799
48000	213.0047	51799
50000	213.2857	51799
52000	213.5635	51796
54000	213.8445	51796
56000	214.1074	51744
58000	214.3869	51744
60000	214.6622	51744
62000	214.9441	51744
64000	215.2231	51744
66000	215.5286	51744
68000	215.8025	51744
70000	216.1525	51744
72000	216.4219	51744
74000	216.6896	51744
76000	216.9603	51744
78000	217.2378	51744
80000	217.5470	51744
82000	217.8329	51744
84000	218.1091	51744
86000	218.3829	51744
88000	218.7242	51744
90000	218.9899	51744
92000	219.2549	51744
94000	219.5478	51744
96000	219.8755	51744
98000	220.1429	51744
100000	220.4272	51744
102000	220.7024	51611
104000	221.0065	51419
106000	221.2960	51399
108000	221.5722	51399
110000	221.8525	51399
112000	222.1595	51399
114000	222.4494	51399
116000	222.7204	51367
118000	222.9973	51367
120000	223.2771	51367
122000	223.6028	51367
124000	223.8678	51367
126000	224.1494	51367
128000	224.4510	51367
130000	224.7400	51367
132000	225.0245	51367
134000	225.2958	51367
136000	225.5663	51367
138000	225.8433	51367
140000	226.1257	51367
142000	226.3986	51367
144000	226.6751	51367
146000	226.9506	51367
148000	227.2374	51367
150000	227.5144	51367
152000	227.7947	51367
154000	228.0618	51367
156000	228.3271	51367
158000	228.6129	51367
160000	228.9067	51367
162000	229.1656	51367
164000	229.4281	51367
166000	229.7904	51367
168000	230.0873	51367
170000	230.3941	51367
172000	230.6637	51367
174000	230.9467	51367
176000	231.2190	51367
178000	231.4833	51367
180000	231.7502	51367
182000	232.0106	51367
184000	232.3570	51367
186000	232.6292	51367
188000	232.9172	51367
190000	233.2061	51367
192000	233.5076	51367
194000	233.7835	51296
196000	234.0737	51296
198000	234.3536	51296
0	234.6347	728309
2000	239.1353	337041
4000	241.1943	213333
6000	242.2968	141952
8000	242.9860	99086
10000	243.4963	74922
12000	243.8615	63366
14000	244.1914	57449
16000	244.5028	55004
18000	244.8090	53560
20000	245.1279	53236
22000	245.4134	52981
24000	245.7044	52867
26000	245.9933	52743
28000	246.3025	52743
30000	246.5812	52743
32000	246.8700	52743
34000	247.1991	52353
36000	247.4815	52353
38000	247.7535	52353
40000	248.0333	52353
42000	248.3449	52331
44000	248.6369	52326
46000	248.9183	52307
48000	249.1959	52307
50000	249.5182	52190
52000	249.8266	52106
54000	250.0932	52101
56000	250.3681	52101
58000	250.6655	52101
60000	250.9607	52101
62000	251.2390	52099
64000	251.5199	52099
66000	251.8041	52040
68000	252.0866	51761
70000	252.3747	51761
72000	252.6726	51761
74000	252.9781	51761
76000	253.2893	51761
78000	253.5887	51761
80000	253.8685	51761
82000	254.1461	51761
84000	254.4505	51747
86000	254.7340	51747
88000	255.0020	51747
90000	255.2763	51747
92000	255.5379	51747
94000	255.8553	51747
96000	256.1183	51747
98000	256.3837	51747
100000	256.6473	51747
102000	256.9610	51747
104000	257.2592	51747
106000	257.5376	51747
108000	257.8343	51747
110000	258.1975	51747
112000	258.4885	51747
114000	258.7803	51747
116000	259.0742	51747
118000	259.3625	51747
120000	259.6630	51747
122000	259.9715	51747
124000	260.2577	51747
126000	260.5425	51747
128000	260.8222	51747
130000	261.0999	51747
132000	261.3833	51747
134000	261.6553	51747
136000	261.9628	51747
138000	262.2532	51747
140000	262.5369	51747
142000	262.8107	51747
144000	263.0677	51747
146000	263.3574	51747
148000	263.6355	51747
150000	263.9116	51747
152000	264.2123	51747
154000	264.5250	51747
156000	264.8190	51747
158000	265.0995	51747
160000	265.3721	51747
162000	265.7073	51747
164000	265.9897	51747
166000	266.2899	51747
168000	266.5784	51747
170000	266.9095	51747
172000	267.1885	51747
174000	267.4661	51747
176000	267.7628	51747
178000	268.1073	51747
180000	268.4054	51747
182000	268.6807	51747
184000	268.9714	51747
186000	269.3254	51747
188000	269.6222	51747
190000	269.9108	51747
192000	270.1948	51747
194000	270.4985	51747
196000	270.7793	51747
198000	271.0447	51747
0	271.3199	704153
2000	275.6687	337164
4000	277.5563	212339
6000	278.5916	140466
8000	279.2565	97939
10000	279.7128	72256
12000	280.0807	63531
14000	280.4337	58176
16000	280.7232	55450
18000	281.0105	54714
20000	281.3083	54105
22000	281.6350	53836
24000	281.9504	53666
26000	282.2411	53241
28000	282.5220	52971
30000	282.8528	52863
32000	283.1365	52863
34000	283.4106	52729
36000	283.6965	52333
38000	284.0476	52209
40000	284.3267	52183
42000	284.5951	52122
44000	284.8839	52029
46000	285.1739	52029
48000	285.4669	52029
50000	285.7590	52029
52000	286.0577	52029
54000	286.3436	52029
56000	286.6285	52029
58000	286.9030	52029
60000	287.1826	52029
62000	287.4859	52029
64000	287.8038	52029
66000	288.0955	51986
68000	288.3621	51986
70000	288.6355	51961
72000	288.9797	51961
74000	289.2545	51961
76000	289.5270	51961
78000	289.8032	51961
80000	290.1360	51961
82000	290.4243	51961
84000	290.6916	51961
86000	290.9697	51946
88000	291.2379	51907
90000	291.5132	51889
92000	291.7916	51889
94000	292.0800	51889
96000	292.3536	51889
98000	292.6837	51889
100000	292.9535	51889
102000	293.2438	51889
104000	293.5192	51889
106000	293.8240	51889
108000	294.0951	51889
110000	294.3645	51889
112000	294.6456	51889
114000	294.9270	51889
116000	295.2221	51889
118000	295.4889	51889
120000	295.7773	51889
122000	296.0729	51875
124000	296.3554	51875
126000	296.6366	51875
128000	296.9322	51875
130000	297.2091	51875
132000	297.5126	51875
134000	297.8009	51875
136000	298.0765	51875
138000	298.3531	51875
140000	298.6510	51875
142000	298.9634	51875
144000	299.2221	51875
146000	299.4877	51875
148000	299.7791	51875
150000	300.0823	51875
152000	300.3476	51875
154000	300.6212	51875
156000	300.8846	51875
158000	301.2023	51875
160000	301.5060	51875
162000	301.7870	51875
164000	302.0632	51875
166000	302.3510	51875
168000	302.6358	51875
170000	302.9187	51875
172000	303.1885	51875
174000	303.4715	51875
176000	303.7601	51875
178000	304.0320	51875
180000	304.3282	51875
182000	304.6094	51875
184000	304.8995	51875
186000	305.2035	51875
188000	305.5197	51875
190000	305.8062	51875
192000	306.0870	51875
194000	306.3672	51875
196000	306.6359	51875
198000	306.8982	51742
0	307.1624	727359
2000	311.3307	333751
4000	313.1018	215172
6000	314.1741	144629
8000	314.8480	101829
10000	315.2950	77424
12000	315.6600	64967
14000	316.0259	59327
16000	316.3261	56374
18000	316.6301	54677
20000	316.9383	53981
22000	317.2370	53633
24000	317.5141	53017
26000	317.7921	52997
28000	318.0637	52753
30000	318.3567	52672
32000	318.6392	52464
34000	318.9182	52364
36000	319.1812	52323
38000	319.5108	52190
40000	319.7909	52163
42000	320.0674	52081
44000	320.3246	52081
46000	320.6414	52081
48000	320.9307	52081
50000	321.1873	52081
52000	321.4532	52081
54000	321.7172	52017
56000	321.9928	52017
58000	322.2556	52017
60000	322.5230	52017
62000	322.7932	51867
64000	323.0758	51782
66000	323.3459	51782
68000	323.6181	51782
70000	323.8960	51750
72000	324.1711	51750
74000	324.4448	51750
76000	324.7119	51750
78000	324.9833	51750
80000	325.2694	51750
82000	325.5957	51750
84000	325.9314	51750
86000	326.2333	51750
88000	326.5006	51750
90000	326.7690	51732
92000	327.0501	51732
94000	327.3569	51732
96000	327.6302	51732
98000	327.8922	51732
100000	328.1582	51732
102000	328.4369	51732
104000	328.7034	51732
106000	328.9715	51732
108000	329.2412	51732
110000	329.5198	51732
112000	329.8018	51732
114000	330.0783	51732
116000	330.3483	51732
118000	330.6114	51732
120000	330.8976	51732
122000	331.1609	51732
124000	331.4257	51732
126000	331.6933	51670
128000	331.9823	51609
130000	332.2598	51609
132000	332.5166	51578
134000	332.7816	51578
136000	333.0384	51424
138000	333.3133	51343
140000	333.5692	51343
142000	333.8272	51343
144000	334.0971	51343
146000	334.3854	51343
148000	334.6947	51343
150000	334.9617	51343
152000	335.2204	51343
154000	335.4857	51343
156000	335.7820	51343
158000	336.0802	51343
160000	336.3684	51343
162000	336.6384	51343
164000	336.9386	51343
166000	337.2103	51343
168000	337.4832	51343
170000	337.7480	51343
172000	338.0359	51343
174000	338.3122	51343
176000	338.5848	51343
178000	338.8518	51343
180000	339.1109	51343
182000	339.4120	51343
184000	339.6760	51343
186000	339.9322	51343
188000	340.1909	51343
190000	340.4476	51343
192000	340.7226	51343
194000	340.9922	51343
196000	341.2567	51343
198000	341.5159	51343
0	341.8590	735272
2000	345.8564	332182
4000	347.5763	213960
6000	348.6359	138203
8000	349.2706	98788
10000	349.7170	75876
12000	350.0782	63965
14000	350.4222	58136
16000	350.7232	56394
18000	351.0127	55019
20000	351.3006	54230
22000	351.5995	53402
24000	351.8655	52537
26000	352.1302	52482
28000	352.4014	52412
30000	352.7229	52191
32000	353.0009	52177
34000	353.2773	52177
36000	353.5592	52177
38000	353.8391	52177
40000	354.1533	52177
42000	354.4172	52172
44000	354.6788	52172
46000	354.9503	52172
48000	355.2275	52162
50000	355.4943	52144
52000	355.7655	52144
54000	356.0463	52144
56000	356.3421	52144
58000	356.6330	52109
60000	356.9091	52109
62000	357.1768	52027
