# Gen	Time	Best
0	0.0100	726960
2000	5.6025	334818
4000	7.9835	202517
6000	9.3193	128014
8000	10.2246	87085
10000	10.8360	67658
12000	11.3258	59048
14000	11.7898	55483
16000	12.2130	54089
18000	12.6007	53532
20000	13.0218	52974
22000	13.4066	52880
24000	13.7644	52411
26000	14.1317	52204
28000	14.4853	51979
30000	14.8522	51937
32000	15.1973	51892
34000	15.6211	51883
36000	16.1967	51877
38000	16.7289	51877
40000	17.2754	51877
42000	17.8369	51877
44000	18.4960	51877
46000	19.1167	51877
48000	19.7313	51877
50000	20.3319	51877
52000	20.9684	51877
54000	21.5824	51877
56000	22.1980	51877
58000	22.8168	51877
60000	23.4251	51877
62000	24.0239	51877
64000	24.6565	51877
66000	25.3390	51877
68000	26.0537	51877
70000	26.6930	51877
72000	27.3354	51877
74000	27.9790	51877
76000	28.5970	51877
78000	29.2357	51877
80000	29.8721	51877
82000	30.4791	51877
84000	31.1047	51877
86000	31.7850	51877
88000	32.4180	51877
90000	33.0849	51877
92000	33.6858	51877
94000	34.3383	51877
96000	34.9625	51877
98000	35.5859	51877
100000	36.2437	51877
102000	36.8330	51877
104000	37.4587	51877
106000	38.0923	51877
108000	38.7216	51877
110000	39.3320	51877
112000	39.9518	51877
114000	40.5865	51877
116000	41.2009	51877
118000	41.8323	51877
120000	42.4578	51877
122000	43.0962	51877
124000	43.6983	51877
126000	44.3265	51877
128000	44.9828	51877
130000	45.5959	51877
132000	46.2083	51877
134000	46.8373	51877
136000	47.5018	51877
138000	48.1117	51877
140000	48.7314	51877
142000	49.3246	51877
144000	49.9714	51877
146000	50.5522	51877
148000	51.2195	51877
150000	51.8489	51877
152000	52.4915	51877
154000	53.1115	51877
156000	53.7858	51877
158000	54.4062	51877
160000	55.0391	51877
162000	55.6357	51877
164000	56.3242	51877
166000	56.9527	51877
168000	57.5953	51877
170000	58.2748	51877
172000	58.9339	51877
174000	59.5563	51877
176000	60.2134	51877
178000	60.8937	51877
180000	61.5181	51877
182000	62.1423	51877
184000	62.7982	51877
186000	63.4294	51877
188000	64.0447	51877
190000	64.6447	51877
192000	65.3028	51877
194000	65.9109	51877
196000	66.5255	51877
198000	67.1582	51877
0	67.8084	736779
2000	73.5045	334646
4000	76.0792	197625
6000	77.4527	124457
8000	78.3221	85437
10000	78.9258	65221
12000	79.4343	58236
14000	79.8823	55709
16000	80.2930	54705
18000	80.7267	52704
20000	81.1378	52181
22000	81.5275	52060
24000	81.9028	51890
26000	82.4423	51825
28000	83.0156	51807
30000	83.5857	51807
32000	84.1121	51791
34000	84.6862	51791
36000	85.2671	51787
38000	85.8517	51787
40000	86.4844	51787
42000	87.1791	51787
44000	87.8291	51787
46000	88.4932	51787
48000	89.1299	51787
50000	89.8106	51787
52000	90.4306	51787
54000	91.0594	51787
56000	91.6764	51787
58000	92.3124	51787
60000	92.9328	51787
62000	93.6019	51787
64000	94.2263	51787
66000	94.8962	51787
68000	95.5101	51787
70000	96.1511	51787
72000	96.7850	51787
74000	97.3954	51787
76000	98.0327	51787
78000	98.6284	51787
80000	99.3448	51787
82000	99.9890	51787
84000	100.6400	51787
86000	101.3467	51787
88000	102.0546	51787
90000	102.7299	51787
92000	103.3761	51787
94000	104.0337	51787
96000	104.6850	51787
98000	105.3545	51787
100000	105.9954	51787
102000	106.6241	51787
104000	107.2852	51787
106000	107.9240	51787
108000	108.5443	51787
110000	109.2276	51787
112000	109.8633	51787
114000	110.5031	51787
116000	111.1345	51787
118000	111.8037	51787
120000	112.4166	51787
122000	113.0623	51787
124000	113.7078	51787
126000	114.3746	51787
128000	115.0115	51787
130000	115.6605	51787
132000	116.3132	51787
134000	116.9819	51787
136000	117.5914	51787
138000	118.2679	51787
140000	118.8734	51787
142000	119.5013	51787
144000	120.1485	51787
146000	120.8343	51787
148000	121.4466	51787
150000	122.0949	51787
152000	122.7336	51787
154000	123.3445	51787
156000	123.9765	51787
158000	124.5886	51787
160000	125.2444	51787
162000	125.8848	51787
164000	126.5032	51787
166000	127.1671	51787
168000	127.7913	51787
170000	128.3947	51787
172000	129.0352	51787
174000	129.6798	51787
176000	130.3138	51787
178000	130.9708	51787
180000	131.6001	51787
182000	132.2039	51787
184000	132.8349	51787
186000	133.4491	51787
188000	134.1267	51787
190000	134.8011	51787
192000	135.4424	51787
194000	136.0738	51787
196000	136.7091	51787
198000	137.3379	51787
0	137.9713	726570
2000	143.6419	319395
4000	146.2971	201258
6000	147.7984	124069
8000	148.7759	85520
10000	149.4608	65526
12000	149.9961	58030
14000	150.4518	55862
16000	150.8943	54140
18000	151.3292	53776
20000	151.7958	53452
22000	152.2178	53319
24000	152.6611	53120
26000	153.0912	52655
28000	153.5052	52159
30000	153.9192	51924
32000	154.3413	51839
34000	154.7782	51752
36000	155.1995	51691
38000	155.5815	51550
40000	155.9349	51542
42000	156.2926	51542
44000	156.7421	51542
46000	157.1810	51542
48000	157.7267	51484
50000	158.3113	51484
52000	159.0863	51484
54000	160.0378	51484
56000	160.9432	51484
58000	161.8934	51484
60000	162.7501	51484
62000	163.5564	51484
64000	164.4278	51484
66000	165.2000	51484
68000	166.0121	51484
70000	166.7847	51484
72000	167.5390	51484
74000	168.3646	51484
76000	169.1209	51484
78000	169.9223	51484
80000	170.7914	51484
82000	171.5352	51484
84000	172.2930	51484
86000	173.0542	51484
88000	173.8556	51484
90000	174.7963	51484
92000	175.6897	51484
94000	176.5794	51484
96000	177.4787	51484
98000	178.2237	51484
100000	178.8873	51484
102000	179.8420	51484
104000	180.6782	51484
106000	181.4669	51484
108000	182.3011	51484
110000	183.1256	51484
112000	183.9572	51484
114000	184.7639	51484
116000	185.5620	51484
118000	186.4011	51484
120000	187.2028	51484
122000	188.0220	51484
124000	188.8083	51484
126000	189.6277	51484
128000	190.4381	51484
130000	191.2191	51484
132000	192.0188	51484
134000	192.8187	51484
136000	193.5635	51484
138000	194.4198	51484
140000	195.2596	51484
142000	196.0385	51484
144000	196.8217	51484
146000	197.5969	51484
148000	198.4048	51484
150000	199.1772	51484
152000	199.9418	51484
154000	200.7950	51484
156000	201.7153	51484
158000	202.6073	51484
160000	203.4235	51484
162000	204.2015	51484
164000	205.0036	51484
166000	205.8118	51484
168000	206.6214	51484
170000	207.3639	51484
172000	208.1007	51484
174000	209.0237	51484
176000	209.8028	51484
178000	210.5823	51484
180000	211.2825	51484
182000	212.0230	51484
184000	212.7849	51484
186000	213.5404	51484
188000	214.1887	51484
190000	214.9284	51484
192000	215.6684	51484
194000	216.4723	51484
196000	217.1860	51484
198000	217.9689	51484
0	218.7886	730259
2000	225.8689	324278
4000	228.8535	194147
6000	230.4484	123322
8000	231.5461	85389
10000	232.3189	66928
12000	233.0111	57823
14000	233.5491	54936
16000	234.1351	53520
18000	234.6950	53058
20000	235.2227	52916
22000	235.7202	52723
24000	236.2091	52558
26000	236.6577	52499
28000	237.1827	52474
30000	237.8190	52474
32000	238.4870	52360
34000	239.1996	52247
36000	240.0203	52218
38000	240.6351	52176
40000	241.1866	52176
42000	241.8363	52094
44000	242.6363	52094
46000	243.4547	52094
48000	244.2703	52084
50000	245.1130	52084
52000	245.9940	52084
54000	246.8452	52084
56000	247.6917	52084
58000	248.6158	52084
60000	249.4984	52084
62000	250.4187	52084
64000	251.2286	52084
66000	252.0369	52084
68000	252.8541	52084
70000	253.7099	52084
72000	254.5546	52084
74000	255.3805	52084
76000	256.1978	52084
78000	257.0594	52084
80000	257.8253	52084
82000	258.5608	52084
84000	259.4178	52084
86000	260.1193	52084
88000	260.9474	52084
90000	261.7167	52084
92000	262.6012	52084
94000	263.4941	52084
96000	264.3950	52084
98000	265.3683	52084
100000	266.3345	52084
102000	267.2638	52084
104000	268.1461	52084
106000	269.0529	52084
108000	270.0146	52084
110000	270.9010	52084
112000	271.6873	52084
114000	272.5534	52084
116000	273.4838	52084
118000	274.3771	52084
120000	275.3837	52084
122000	276.3191	52084
124000	277.2669	52084
126000	278.1366	52084
128000	278.9638	52084
130000	279.8424	52084
132000	280.7107	52084
134000	281.6360	52084
136000	282.6382	52084
138000	283.6359	52084
140000	284.5939	52084
142000	285.4541	52084
144000	286.3593	52084
146000	287.2079	52084
148000	288.0507	52084
150000	288.9270	52084
152000	289.8516	52084
154000	290.7969	52084
156000	291.6427	52084
158000	292.5842	52084
160000	293.4702	52084
162000	294.4077	52084
164000	295.2631	52084
166000	296.1584	52084
168000	297.0268	52084
170000	297.8269	52084
172000	298.6676	52084
174000	299.5108	52084
176000	300.4343	52084
178000	301.2650	52084
180000	302.1101	52084
182000	302.9590	52084
184000	303.8731	52084
186000	304.5905	52084
188000	305.4019	52084
190000	306.2485	52084
192000	307.0245	52084
194000	307.9968	52084
196000	309.0024	52084
198000	309.8731	52084
0	310.8155	727679
2000	317.9795	332896
4000	321.0280	193474
6000	322.9019	122122
8000	324.0653	82428
10000	324.8061	65413
12000	325.4393	57884
14000	326.0378	55949
16000	326.5600	54635
18000	327.1104	53992
20000	327.5954	53659
22000	328.1390	53507
24000	328.6675	52731
26000	329.1818	52478
28000	329.6414	52419
30000	330.1414	52311
32000	330.7618	52282
34000	331.4294	52251
36000	331.9879	52119
38000	332.4808	52098
40000	333.2561	52098
42000	333.8647	52098
44000	334.5514	52098
46000	335.3779	52098
48000	336.2074	52098
50000	337.1222	52098
52000	338.0764	52098
54000	338.9828	52098
56000	339.7624	52098
58000	340.7754	52098
60000	341.8134	52098
62000	342.7764	52098
64000	343.7136	52098
66000	344.6092	52098
68000	345.4950	52098
70000	346.3066	52098
72000	347.1427	52098
74000	347.9596	52098
76000	348.8540	52098
78000	349.7087	52098
80000	350.4943	52098
82000	351.3311	52098
84000	352.1649	52098
86000	352.9790	52098
88000	353.8710	52098
90000	354.7993	52098
92000	355.7570	52098
94000	356.6493	52098
96000	357.6380	52098
98000	358.5931	52098
100000	359.5586	52098
102000	360.4807	52098
104000	361.3798	52098
106000	362.1874	52098
108000	362.9722	52098
110000	363.8390	52098
112000	364.6942	52098
114000	365.5059	52098
116000	366.4031	52098
118000	367.3014	52098
120000	368.1572	52098
122000	369.1336	52098
124000	369.9983	52098
126000	370.8910	52098
128000	371.7311	52098
130000	372.5364	52098
132000	373.4117	52098
134000	374.2386	52098
136000	375.0641	52098
138000	375.9485	52098
140000	376.7389	52098
142000	377.5200	52098
144000	378.3205	52098
146000	379.1731	52098
148000	380.1669	52098
150000	381.1069	52098
152000	381.9895	52098
154000	382.8530	52098
156000	383.6725	52098
158000	384.5790	52098
160000	385.5088	52098
162000	386.4207	52098
164000	387.2402	52098
166000	388.0395	52098
168000	388.9515	52098
170000	389.8397	52098
172000	390.6988	52098
174000	391.5732	52098
176000	392.4646	52098
178000	393.3375	52098
180000	394.1485	52098
182000	395.0297	52098
184000	395.8989	52098
186000	396.7416	52098
188000	397.6353	52098
190000	398.5449	52098
192000	399.3967	52098
194000	400.2613	52098
196000	401.1110	52098
198000	401.9967	52098
0	402.8487	733099
2000	409.6068	336890
4000	412.7772	199433
6000	414.6563	121963
8000	415.8751	84445
10000	416.6336	64433
12000	417.4044	57024
14000	418.0534	54956
16000	418.6601	54373
18000	419.2850	53340
20000	419.8550	52906
22000	420.4035	52654
24000	421.0311	52530
26000	421.5880	52375
28000	422.1288	52314
30000	422.8547	52298
32000	423.3418	52264
34000	423.9000	52195
36000	424.5284	52195
38000	425.3623	52195
40000	426.1300	51813
42000	427.0417	51813
44000	427.8920	51813
46000	428.6637	51813
48000	429.4534	51813
50000	430.3784	51813
52000	431.2382	51813
54000	432.0203	51813
56000	432.8526	51813
58000	433.7175	51813
60000	434.6060	51813
62000	435.4790	51813
64000	436.4087	51813
66000	437.3020	51813
68000	438.2111	51813
70000	439.0647	51813
72000	439.9809	51813
74000	440.8152	51813
76000	441.7131	51813
78000	442.6491	51813
80000	443.5283	51813
82000	444.4187	51813
84000	445.4458	51813
86000	446.4519	51813
88000	447.3058	51813
90000	448.1515	51813
92000	449.0997	51813
94000	449.9526	51813
96000	450.8112	51813
98000	451.5902	51813
100000	452.4180	51813
102000	453.2858	51813
104000	454.2065	51813
106000	455.0504	51813
108000	455.8892	51813
110000	456.6025	51813
112000	457.4782	51813
114000	458.3958	51813
116000	459.2730	51813
118000	460.1421	51813
120000	460.9384	51813
122000	461.6824	51813
124000	462.4982	51813
126000	463.3286	51813
128000	464.1582	51813
130000	465.0838	51813
132000	465.9980	51813
134000	466.8956	51813
136000	467.6848	51813
138000	468.5385	51813
140000	469.3924	51813
142000	470.2607	51813
144000	471.1693	51813
146000	472.1145	51813
148000	472.9824	51813
150000	473.8844	51813
152000	474.7372	51813
154000	475.7165	51813
156000	476.6436	51813
158000	477.5881	51813
160000	478.5181	51813
162000	479.2533	51813
164000	480.6695	51813
166000	482.0870	51813
168000	483.4670	51813
170000	484.8406	51813
172000	486.1553	51813
174000	487.4273	51813
176000	488.7106	51813
178000	490.0904	51813
180000	491.4134	51813
182000	492.6837	51813
184000	493.9570	51813
186000	495.2552	51813
188000	496.6130	51813
190000	497.9110	51813
192000	499.4563	51813
194000	500.8931	51813
196000	502.3608	51813
198000	503.7462	51813
0	505.2791	728748
2000	516.4169	328572
4000	521.4245	201098
6000	524.2405	124549
8000	526.0696	85803
10000	527.2555	65223
12000	528.3068	59078
14000	529.1916	55702
16000	529.9178	54567
18000	530.7739	54035
20000	531.5678	53453
22000	532.2352	53220
24000	533.0362	53021
26000	533.8318	52773
28000	534.5801	52567
30000	535.3361	52437
32000	536.0282	52374
34000	536.6605	52374
36000	538.0233	52360
38000	539.2649	52264
40000	540.4984	52264
42000	541.6950	52264
44000	543.0065	52264
46000	544.3066	52264
48000	545.5308	52247
50000	546.8041	52247
52000	548.0379	52247
54000	549.3203	52247
56000	550.5581	52247
58000	551.8398	52247
60000	553.0936	52247
62000	554.4297	52247
64000	555.8617	52247
66000	557.1124	52247
68000	558.4449	52247
70000	559.6399	52247
72000	560.8984	52247
74000	562.1239	52247
76000	563.3764	52247
78000	564.5927	52247
80000	565.8870	52247
82000	567.1125	52247
84000	568.3802	52247
86000	569.6292	52247
88000	571.0546	52247
90000	572.3082	52247
92000	573.5128	52247
94000	574.7961	52247
96000	576.0241	52247
98000	577.2480	52247
100000	578.4504	52247
102000	579.7011	52247
104000	580.9037	52247
106000	582.1542	52247
108000	583.4551	52247
110000	584.7023	52247
112000	585.9391	52247
114000	587.1645	52247
116000	588.3946	52247
118000	589.6202	52247
120000	590.9059	52247
122000	592.1392	52247
124000	593.3765	52247
126000	594.6186	52247
128000	595.9765	52247
130000	597.2088	52247
132000	598.4208	52247
134000	599.6652	52247
136000	600.8735	52247
138000	602.1905	52247
140000	603.3779	52247
142000	604.6170	52247
144000	605.8527	52247
146000	607.0867	52247
148000	608.2622	52247
150000	609.5072	52247
152000	610.7029	52247
154000	612.0744	52247
156000	613.3337	52247
158000	614.5320	52247
160000	615.7608	52247
162000	616.9607	52247
164000	618.1944	52247
166000	619.3949	52247
168000	620.6207	52247
170000	621.7850	52247
172000	623.0588	52247
174000	624.3641	52247
176000	625.8284	52247
178000	627.1574	52247
180000	628.4289	52247
182000	629.6880	52247
184000	630.9050	52247
186000	632.1367	52247
188000	633.3384	52247
190000	634.5773	52247
192000	635.8280	52247
194000	637.1542	52247
196000	638.3647	52247
198000	639.5441	52247
0	640.8032	721612
2000	651.8889	324472
4000	657.1417	197076
6000	659.8896	122106
8000	661.7599	80855
10000	662.9393	64865
12000	663.9643	58311
14000	664.7477	55407
16000	665.5858	53948
18000	666.4756	53449
20000	667.2730	53142
22000	668.0502	53030
24000	669.3180	52988
26000	670.7778	52946
28000	671.9144	52912
30000	672.5423	52456
32000	673.3962	52342
34000	674.1087	52342
36000	675.3049	52342
38000	676.4968	52342
40000	677.8352	52342
42000	679.0480	52318
44000	680.2671	52318
46000	681.5245	52259
48000	682.2925	52218
50000	682.8530	52218
52000	684.0148	52218
54000	685.3003	52218
56000	686.6138	52218
58000	687.8485	52218
60000	689.2582	52218
62000	690.6371	52218
64000	691.9107	52218
66000	693.1013	52218
68000	694.3625	52218
70000	695.5955	52218
72000	696.8171	52218
74000	698.0166	52218
76000	699.2839	52218
78000	700.4625	52218
80000	701.7199	52218
82000	702.8945	52218
84000	704.2274	52218
86000	705.4813	52218
88000	706.7129	52218
90000	707.9817	52218
92000	709.2394	52218
94000	710.4554	52218
96000	711.6699	52218
98000	712.9267	52218
100000	714.3360	52218
102000	715.7200	52218
104000	716.9899	52218
106000	718.2345	52218
108000	719.4858	52218
110000	720.7292	52218
112000	721.9881	52218
114000	723.1642	52218
116000	724.4032	52218
118000	725.6026	52218
120000	726.8403	52218
122000	728.0482	52218
124000	729.2711	52218
126000	730.4527	52218
128000	731.8019	52218
130000	733.0866	52218
132000	734.3145	52218
134000	735.5908	52218
136000	736.8035	52218
138000	738.1329	52218
140000	739.3557	52218
142000	740.6746	52218
144000	741.9106	52218
146000	743.1570	52218
148000	744.3645	52218
150000	745.7960	52218
152000	747.0767	52218
154000	748.2967	52218
156000	749.5607	52218
158000	750.8093	52218
160000	752.0799	52218
162000	753.3283	52218
164000	754.6021	52218
166000	755.9339	52218
168000	757.1640	52218
170000	758.3657	52218
172000	759.5879	52218
174000	760.8105	52218
176000	762.0416	52218
178000	763.2806	52218
180000	764.5284	52218
182000	765.7821	52218
184000	767.0136	52218
186000	768.3567	52218
188000	769.6125	52218
190000	770.8629	52218
192000	772.1336	52218
194000	773.3507	52218
196000	774.6529	52218
198000	775.8823	52218
0	777.1102	726163
2000	788.2134	330836
4000	792.8713	191949
6000	795.6248	123991
8000	797.4523	83322
10000	798.6889	63951
12000	799.7396	57519
14000	800.6369	55656
16000	801.4602	54925
18000	802.2213	54035
20000	803.0246	53658
22000	803.8942	53435
24000	804.5742	52601
26000	805.3525	52321
28000	806.1296	52236
30000	806.8779	52129
32000	807.6255	51581
34000	808.2556	51540
36000	809.0185	51506
38000	810.3069	51506
40000	811.5591	51506
42000	812.7769	51506
44000	814.1048	51506
46000	815.2747	51506
48000	816.4534	51464
50000	817.7086	51435
52000	818.9407	51435
54000	820.1802	51435
56000	821.3625	51435
58000	822.6406	51435
60000	823.8348	51435
62000	825.0322	51435
64000	826.2353	51435
66000	827.4648	51435
68000	828.6810	51435
70000	829.9720	51435
72000	831.1897	51435
74000	832.3866	51435
76000	833.6319	51435
78000	834.7844	51435
80000	836.0128	51435
82000	837.2089	51435
84000	838.4490	51435
86000	839.6788	51435
88000	840.9358	51435
90000	842.1302	51435
92000	843.3524	51435
94000	844.5250	51435
96000	845.7451	51435
98000	846.9204	51435
100000	848.1552	51435
102000	849.3765	51435
104000	850.7639	51435
106000	852.0065	51435
108000	853.1931	51435
110000	854.3982	51435
112000	855.5997	51435
114000	856.8428	51435
116000	858.0299	51435
118000	859.2374	51435
120000	860.4001	51435
122000	861.5976	51435
124000	862.7418	51435
126000	863.9779	51435
128000	865.1240	51435
130000	866.3501	51435
132000	867.5299	51435
134000	868.7788	51435
136000	869.9688	51435
138000	871.1491	51435
140000	872.4522	51435
142000	873.6492	51435
144000	874.8787	51435
146000	876.0190	51435
148000	877.2169	51435
150000	878.3826	51435
152000	879.6033	51435
154000	880.7946	51435
156000	882.0037	51435
158000	883.1843	51435
160000	884.3758	51435
162000	885.5706	51435
164000	886.8255	51435
166000	888.0714	51435
168000	889.3225	51435
170000	890.4965	51435
172000	891.7196	51435
174000	892.8813	51435
176000	894.0733	51435
178000	895.3590	51435
180000	896.5687	51435
182000	897.8252	51435
184000	899.0266	51435
186000	900.2550	51435
188000	901.4296	51435
190000	902.6436	51435
192000	903.8437	51435
194000	905.0757	51435
196000	906.2994	51435
198000	907.5560	51435
0	908.7667	736720
2000	919.8141	327760
4000	924.4377	196550
6000	927.0917	124917
8000	928.7717	84289
10000	930.0721	66606
12000	930.9799	57378
14000	931.8857	54468
16000	932.7640	53348
18000	933.5476	52958
20000	934.2289	52762
22000	935.0082	52654
24000	935.7393	52337
26000	936.4438	52147
28000	937.6340	52092
30000	938.8753	52092
32000	940.1320	52085
34000	941.4651	52036
36000	942.7412	52025
38000	943.9147	52025
40000	945.1230	52025
42000	946.1754	51746
44000	946.8909	51746
46000	947.7091	51746
48000	948.8037	51746
50000	949.9686	51746
52000	951.1886	51746
54000	952.4647	51746
56000	953.6102	51746
58000	954.5439	51718
60000	955.4729	51718
62000	956.6479	51718
64000	957.8885	51718
66000	959.0926	51718
68000	960.3083	51718
70000	961.5200	51718
72000	962.7372	51718
74000	963.8753	51718
76000	965.0657	51718
78000	966.2214	51718
80000	967.4439	51718
82000	968.6260	51718
84000	969.8144	51718
86000	970.9789	51718
88000	972.1936	51718
90000	973.3608	51718
92000	974.6128	51718
94000	975.8302	51718
96000	977.0373	51718
98000	978.3141	51718
100000	979.5730	51718
102000	980.7648	51718
104000	981.9490	51718
106000	983.1871	51718
108000	984.3506	51718
110000	985.5659	51718
112000	986.7561	51718
114000	987.9820	51718
116000	989.1593	51718
118000	990.4036	51718
120000	991.5716	51718
122000	992.7542	51718
124000	993.9299	51718
126000	995.1417	51718
128000	996.3306	51718
130000	997.5543	51718
132000	998.7414	51718
134000	999.9632	51718
136000	1001.1512	51718
138000	1002.3995	51718
140000	1003.5770	51718
142000	1004.8805	51718
144000	1006.0792	51718
146000	1007.3030	51718
148000	1008.5069	51718
150000	1009.7014	51718
152000	1010.9129	51718
154000	1012.0850	51718
156000	1013.3268	51718
158000	1014.5191	51718
160000	1015.6993	51718
162000	1016.8795	51718
164000	1018.0691	51718
166000	1019.2751	51718
168000	1020.5215	51718
170000	1021.7114	51718
172000	1022.9088	51718
174000	1024.0815	51718
176000	1025.3217	51718
178000	1026.4874	51718
180000	1027.6906	51718
182000	1028.8496	51718
184000	1030.0960	51718
186000	1031.4306	51718
188000	1032.6385	51718
190000	1033.8496	51718
192000	1035.0502	51718
194000	1036.3371	51718
196000	1037.5054	51718
198000	1038.7350	51718
